Name,Workstream,What it is,Action URL,Action URL Live,Cost,Self-service level,How to submit,Effort/time,Audience / reach,Geography,Best for,Cadence fit,Notes / gotchas,Source URL,Date verified
Art Opportunities Monthly,Open-Call Listing,"Listing platform where organizations POST open calls (grants, juried shows, public art); links out to your own submission URL.",https://artopportunities.org/posts/create,yes,Free,Instant web form,"Use the public 'Create Post' web form (no account) — enter call title, deadline, description and your external submission link; it publishes to the feed.",Low,"Thousands of working artists; site features over 6,900 organizations and 18,000+ total opportunities (Art Opportunities).",Global,"open call, exhibition, grant",one-off post,Free to post your own call and link to your external submission page. No requirement to use their submission system.,"https://artopportunities.org/page/faq, https://artopportunities.org/register",2026-06-12
ArtCallEntry,Open-Call Listing,"Free searchable database + newsletter where organizations advertise their calls for entry, linking out to their own site.",https://artcallentry.com/calls/add,yes,Free (featured placement / email ads paid — contact for rates),Instant web form,"Go to 'Submit a Call (Free)' → fill the 'Add a New Opportunity' form (title, your external website URL, description, contact) → submit → click the confirmation link in the verification email to publish.",Low,Artists browsing ArtCallEntry's database + newsletter subscribers,US / Global,"open call, exhibition",one-off post,Purpose-built free promotional listing; links to your external submission URL. Requires email verification before the listing goes live.,[ArtCallEntry — Add a Call](https://artcallentry.com/calls/add),2026-06-18
ArtDeadline.Com,Open-Call Listing,Major opportunity directory where arts organizations POST their own open calls; artists click through to your submission URL.,https://artdeadline.com/adc-news/,yes,Free (if artist entry fee ≤ $50) or $10/listing,Instant web form,Submit your call via their listing form (free if artist entry fee ≤ $50). Enter details + your external submission URL; staff posts it to the ADC news feed.,Low,Thousands of artists and art institutions worldwide (ArtDeadline.Com),Global,"open call, exhibition, grant",one-off post,Free if your call's artist entry fee is $50 or less and not internet-only; otherwise $10. You link out to your own submission page (notrealart.com / artsvilleusa.com). High-impact ad upgrades from $40.,"[ArtDeadline Submission Page](https://artdeadline.com/adc-news/), [ArtDeadline Publication Options](https://artdeadline.com/adc-pr/)",2026-06-12
College Art Association (CAA),Partner Org/Council,"A professional association for the visual arts that provides a platform to post calls for entries, grants, and exhibition opportunities, as well as a separate job board.",https://www.collegeart.org/jobs-and-opportunities/opportunities/submit/,yes,Free (CAA),Instant web form,Members submit via the 'Submit an Opportunity' form — fill in the call details and link to your own application page; CAA publishes it to the Opportunities board.,Low,"Thousands of artists, scholars, museum professionals, and educators in the visual arts community (CAA)",Global (CAA),"open call, exhibition, grant",one-off post,"Submitting 'Opportunities' (calls for entries, grants, residencies, etc.) is free via a web form. Employment job listings are separate and require a fee starting at $590 for non-members via the Career Center.",https://www.collegeart.org/jobs-and-opportunities/opportunities/submit/,2026-06-12
GivingTuesday,Fundraising/Grants/Donor,A global generosity movement and annual day of giving (the Tuesday after Thanksgiving).,https://www.givingtuesday.org/givingtuesday-toolkit-for-nonprofits/,yes,Free,Instant web form,,Low,Millions of donors globally; $3.1 billion raised in the US in 2022 (GivingTuesday),Global,"donor, press, grant",recurring roundup,There is no central registration or master directory for nonprofits; organizations are encouraged to run their own independent campaigns using the provided toolkit and resources. (GivingTuesday FAQ),https://www.givingtuesday.org/givingtuesday-toolkit-for-nonprofits/,2026-06-12
InLiquid,Partner Org/Council,A nonprofit organization that provides resources and exhibition opportunities for artists and the arts community in Philadelphia.,https://airtable.com/shr71MjNIYSvdudC6,yes,Free,Instant web form,Complete InLiquid's Airtable intake form with your open-call details and external submission URL; the team reviews and posts it.,Low,"Approx. 120+ artists per event and 2,000+ residents at certain locations; reaches the Philadelphia arts community (InLiquid).","US region/state (Philadelphia, PA)","open call, exhibition, grant, press",one-off post,"Submissions are for posting opportunities like exhibitions, grants, and residencies on InLiquid's platform. The submission is done via an Airtable form and likely undergoes manual review before being posted. (InLiquid Opportunities)","https://www.inliquid.org/opportunity-folder/opportunities, https://airtable.com/shr71MjNIYSvdudC6",2026-06-12
Mid-America Arts Alliance (M-AAA),Fundraising/Grants/Donor,"A regional arts organization that provides grants, programs, and exhibitions to support the arts in a six-state region.",https://maaa.tfaforms.net/4988526,yes,Free,Instant web form,,Medium,"Artists and arts organizations across a six-state US region (AR, KS, MO, NE, OK, TX); over $2 million in funding provided since 2012 (Mid-America Arts Alliance).","US region (AR, KS, MO, NE, OK, TX)","grant, open call",always-on,"Grant applications require 501(c)(3) status, a Unique Entity Identifier (UEI) from SAM.gov, and often a dollar-for-dollar match (Mid-America Arts Alliance). Regional Touring Program applications are rolling within the fiscal year.",https://www.maaa.org/for-organizations/regional-touring-program/,2026-06-12
All About Photo,Open-Call Listing,Photography portal where organizations POST photo contests/open calls; links out to your own submission URL (photo-focused).,https://www.all-about-photo.com/link-back.php,yes,Free (reciprocal backlink required),Account required,"Register, add a reciprocal backlink to All About Photo on your site, then submit your photo call via your account; links out to your submission page.",Low,Thousands of photography lovers and experts (estimate from site),Global,"open call, exhibition, press",one-off post,Free if you add a reciprocal backlink. Photo-focused audience. Links to your own submission page.,"[Link Back Page](https://www.all-about-photo.com/link-back.php), [About Us](https://www.all-about-photo.com/about-us.php)",2026-06-12
ArtCall.org,Open-Call Listing,Lets organizations POST a free promotional open-call listing that links out to your own submission website.,https://artcall.org/calls/add,yes,Free (promotional listing),Account required,Create a free account → 'Add Your Call' → choose the free promotional (advertising) listing → enter details and your external submission URL (skip their paid jurying software).,Low,"250,000+ registered artists (ArtCall Overview)",US National,"open call, exhibition",one-off post,Verified org-perspective: free advertising listings link out to external sites (e.g. your own form/page). ArtCall also sells full submission software (from $79) — you do NOT need it since you have your own platform. Use only the free listing.,[ArtCall Add a Call](https://artcall.org/calls/add),2026-06-12
ArtRabbit,Open-Call Listing,International art platform where organizations POST open calls; listings link directly to your own submission URL.,https://www.artrabbit.com/artist-opportunities,yes,"Free (fee-free calls, ~5/week) / £100 standard / free w/ Premium £99/yr",Approval/review (form),Submit your call through ArtRabbit's Google Form. Fee-free calls can get a free listing (~5/week); listing links out to your opportunity URL after review.,Low,"70,000+ professional users and students; 23,500 weekly newsletter subscribers (ArtRabbit) (ArtRabbit)",Global,open call,one-off post,Verified org-perspective: ArtRabbit subsidizes free listings for calls with NO artist entry fee (about 5/week). Listings link out to YOUR opportunity URL — no submission lock-in. Curated via a Google Form. UK/Europe-leaning audience.,"[ArtRabbit Community Guidelines](https://www.artrabbit.com/about/community-guidelines), [ArtRabbit Plans](https://www.artrabbit.com/organisations/plans-starter)",2026-06-12
Artsy,Media/PR Amplifier,Artsy's editorial pitch and press contact page for partners and contributors to submit story ideas and news.,https://www.artsy.net/contact,yes,Free,Email/pitch required,,Low,3.4 million+ monthly collectors and enthusiasts (Source: Artsy About Page),Global,"press, editorial",always-on,"Pitches should be sent to pitches@artsy.net. The site emphasizes original, timely narratives with high-quality images. Editorial coverage is a mix of in-house reporting and freelancer/partner pitches.","https://www.artsy.net/contact, https://partners.artsy.net/articles/artsy-asks-editorial-coverage/",2026-06-12
DAFgiving360 (formerly Schwab Charitable),Fundraising/Grants/Donor,"The nonprofit resources and information page for one of the largest US donor-advised fund (DAF) sponsors (formerly Schwab Charitable), providing tools like DAF Direct and fundraising guidance for organizations to engage with DAF donors.",https://www.dafgiving360.org/charities,yes,Free (DAF Direct),Email/pitch required,,Low,"165,000+ charities supported in 2025; $9.9 billion granted in 2025 (DAFgiving360)",US national (DAFgiving360),"donor, grant",always-on,"Schwab Charitable has rebranded to DAFgiving360. There is no dedicated self-service portal for nonprofits; organizations are primarily identified via IRS records and Guidestar/Candid profiles. Nonprofits can implement the DAF Direct widget to facilitate grants from donors (DAFgiving360). For information updates or EFT inquiries, nonprofits must contact Donor Services directly (DAFgiving360 Privacy). Also add the free DAF Direct donation widget (dafdirect.org) to your site so DAF donors can give directly.","https://www.dafgiving360.org/charities, https://www.dafgiving360.org/privacy",2026-06-12
